ID;GEN;CPM;CTRL;NB_COL
1;0865D;HYB.45177.Col.0865D;0;1
2;0866D;HYB.45177.Col.0866D;0;1
3;0867D;HYB.45177.Col.0867D;0;1
4;0873D;HYB.45177.Col.0873D;0;1
5;0874D;HYB.45177.Col.0874D;0;1
6;0914D;HYB.45179.Col.0914D;0;1
7;0916D;HYB.45179.Col.0916D;0;1
8;0917D;HYB.45179.Col.0917D;0;1
9;0919D;HYB.45179.Col.0919D;0;1
10;0920D;HYB.45179.Col.0920D;0;1
11;0921D;HYB.45179.Col.0921D;0;1
12;0925D;HYB.45179.Col.0925D;0;1
13;0926D;HYB.45179.Col.0926D;0;1
14;0928D;HYB.45179.Col.0928D;0;1
15;0933D;HYB.45180.Col.0933D;0;1
16;0956D;HYB.45182.Col.0956D;0;1
17;0957D;HYB.45182.Col.0957D;0;1
18;0999D;HYB.45185.Col.0999D;0;1
19;1000D;HYB.45185.Col.1000D;0;1
20;1001D;HYB.45185.Col.1001D;0;1
21;1002D;HYB.45185.Col.1002D;0;1
22;1003D;HYB.45185.Col.1003D;0;1
23;1004D;HYB.45185.Col.1004D;0;1
24;1005D;HYB.45185.Col.1005D;0;1
25;1006D;HYB.45185.Col.1006D;0;1
26;1013D;HYB.45186.Col.1013D;0;1
27;1015D;HYB.45186.Col.1015D;0;1
28;1016D;HYB.45186.Col.1016D;0;1
29;1017D;HYB.45186.Col.1017D;0;1
30;1018D;HYB.45186.Col.1018D;0;1
SYR;Syrah_N73;150.Col.73;1;3
CS;Cabernet_Sauvignon_N338;322.Col.338;1;3
RUP;Rupestris_du_Lot_1;V.RUP.9008.Col.1;1;3
RIP;Riparia_Gloire_de_Montpellier_1;V.RIP.9006.Col.1;1;3
MR;Muscadinia_Rotundifolia_Regale;MU.RO.6624.Col.1;1;3